Title,Type,Release,Runtime,Genre,Nominations,Metascore,imdbRating,imdbVotes,imdbID,Budget,Gross,Platform
Insidious: The Last Key,Movie,2018-01-05,6180.0,Horror,,49.0,5.7,63102,tt5726086,10000000.0,167885588.0,others
Stratton,Movie,2018-01-05,5700.0,Action,,26.0,4.8,5405,tt3567666,,257212.0,others
Sweet Country,Movie,2018-04-06,6780.0,Adventure,,88.0,6.9,8855,tt6958212,,1849718.0,others
The Commuter,Movie,2018-01-12,6240.0,Action,,56.0,6.3,118954,tt1590193,30000000.0,119942387.0,others
Freak Show,Movie,2018-01-12,5460.0,Comedy,,54.0,6.5,4376,tt5089534,,20657.0,others
Humor Me,Movie,2018-01-12,5580.0,Comedy,,53.0,6.1,1335,tt5658242,,40099.0,others
Vazante,Movie,2018-01-12,6960.0,Adventure,,68.0,6.3,644,tt4673790,,25091.0,others
12 Strong,Movie,2018-01-19,7800.0,Action,,54.0,6.5,85233,tt1413492,35000000.0,67450815.0,others
Den of Thieves,Movie,2018-01-19,8400.0,Action,,49.0,7.0,116702,tt1259528,30000000.0,80509622.0,others
Forever My Girl,Movie,2018-01-19,6480.0,Comedy,,36.0,6.6,18766,tt4103724,3500000.0,16376066.0,others
Maze Runner: The Death Cure,Movie,2018-01-26,8580.0,Action,,50.0,6.2,147823,tt4500922,62000000.0,288175335.0,others
The Insult,Movie,2019-06-25,6780.0,Crime,1.0,72.0,7.6,17358,tt7048622,2405039.0,3666236.0,others
Please Stand By,Movie,2018-01-26,5580.0,Comedy,,49.0,6.7,14267,tt4652650,,406732.0,others
Winchester,Movie,2018-02-02,5940.0,Drama,,28.0,5.4,35183,tt1072748,3500000.0,44019588.0,others
A Fantastic Woman,Movie,2018-02-02,6240.0,Drama,0.0,85.0,7.2,26401,tt5639354,,3839364.0,others
Armed,Movie,2018-09-14,7080.0,Action,,,3.4,484,tt4824316,,3948.0,others
The Cloverfield Paradox,Movie,2018-02-04,6120.0,Action,,37.0,5.5,108263,tt2548396,45000000.0,,netflix
Peter Rabbit,Movie,2018-02-09,5700.0,Adventure,,51.0,6.6,44979,tt5117670,50000000.0,351496066.0,others
Fifty Shades Freed,Movie,2018-02-09,6300.0,Drama,,31.0,4.5,68522,tt4477536,55000000.0,371985018.0,others
The 15:17 to Paris,Movie,2018-02-09,5640.0,Biography,,45.0,5.3,34583,tt6802308,30000000.0,57076286.0,others
La boda de Valentina,Movie,2018-02-09,6420.0,Comedy,,,4.7,719,tt4823538,47900000.0,11021794.0,others
Kri,Movie,2018-02-23,8280.0,Action,,,5.0,140,tt7528086,3000000.0,,others
Permission,Movie,2018-02-09,5760.0,Comedy,,62.0,5.3,4703,tt5390066,,38260.0,others
Monster Family,Movie,2018-02-09,5580.0,Animation,,,4.8,5131,tt6572702,,29230695.0,others
Golden Exits,Movie,2018-02-09,5640.0,Drama,,71.0,5.7,2237,tt5687814,,41888.0,others
Black Panther,Movie,2018-02-16,8040.0,Action,4.0,88.0,7.3,796972,tt1825683,200000000.0,1349926083.0,others
Nostalgia,Movie,2022-05-25,7020.0,Drama,,76.0,6.8,1951,tt14034614,,2895710.0,others
Black '47,Movie,2018-09-28,6000.0,Action,,65.0,6.8,12399,tt3208026,,2073063.0,others
Samson,Movie,2018-02-16,6600.0,Action,,17.0,4.5,4749,tt6951892,,4873825.0,others
Game Night,Movie,2018-02-23,6000.0,Action,,66.0,6.9,242056,tt2704998,37000000.0,117768230.0,others
Annihilation,Movie,2018-02-23,6900.0,Adventure,,79.0,6.8,336600,tt2798920,40000000.0,43070915.0,others
Every Day,Movie,2018-02-23,5820.0,Drama,,52.0,6.4,22506,tt7026672,4900000.0,10421847.0,others
The Cured,Movie,2018-02-23,5700.0,Drama,,57.0,5.6,8947,tt3463106,,323776.0,others
The Lodgers,Movie,2018-02-23,5520.0,Drama,,52.0,5.1,9368,tt4399952,,916727.0,others
Red Sparrow,Movie,2018-03-02,8400.0,Action,,53.0,6.6,191500,tt2873282,69000000.0,151572634.0,others
Death Wish,Movie,2018-03-02,6420.0,Action,,31.0,6.3,73788,tt1137450,30000000.0,49562710.0,others
The Vanishing of Sidney Hall,Movie,2018-03-02,7140.0,Drama,,18.0,6.8,11286,tt1291566,,,others
Pickings,Movie,2018-08-03,6180.0,Comedy,,,5.1,1083,tt4789822,350000.0,,others
A Wrinkle in Time,Movie,2018-03-09,6540.0,Adventure,,53.0,4.2,46130,tt1620680,100000000.0,132675864.0,others
Gringo,Movie,2018-03-09,6660.0,Action,,46.0,6.1,31102,tt3721964,,11001627.0,others
Thoroughbreds,Movie,2018-03-09,5520.0,Comedy,,75.0,6.6,44682,tt5649108,6000000.0,3187255.0,others
