Title,Type,Release,Runtime,Genre,Nominations,Metascore,imdbRating,imdbVotes,imdbID,Budget,Gross,Platform,CurrencyBudget,CurrencyGross,Language
Insidious: The Last Key,Movie,2018-01-05,6180.0,Horror,,49.0,5.7,63102,tt5726086,10000000.0,167885588.0,others,USD,USD,English
Stratton,Movie,2018-01-05,5700.0,Action,,26.0,4.8,5405,tt3567666,,257212.0,others,,USD,English
Sweet Country,Movie,2018-04-06,6780.0,Adventure,,88.0,6.9,8855,tt6958212,,1849718.0,others,,USD,English
The Commuter,Movie,2018-01-12,6240.0,Action,,56.0,6.3,118954,tt1590193,30000000.0,119942387.0,others,USD,USD,English
Freak Show,Movie,2018-01-12,5460.0,Comedy,,54.0,6.5,4376,tt5089534,,20657.0,others,,USD,English
Humor Me,Movie,2018-01-12,5580.0,Comedy,,53.0,6.1,1335,tt5658242,,40099.0,others,,USD,English
Vazante,Movie,2018-01-12,6960.0,Adventure,,68.0,6.3,644,tt4673790,,25091.0,others,,USD,Portuguese
12 Strong,Movie,2018-01-19,7800.0,Action,,54.0,6.5,85233,tt1413492,35000000.0,67450815.0,others,USD,USD,English
Den of Thieves,Movie,2018-01-19,8400.0,Action,,49.0,7.0,116702,tt1259528,30000000.0,80509622.0,others,USD,USD,English
Forever My Girl,Movie,2018-01-19,6480.0,Comedy,,36.0,6.6,18766,tt4103724,3500000.0,16376066.0,others,USD,USD,English
Maze Runner: The Death Cure,Movie,2018-01-26,8580.0,Action,,50.0,6.2,147823,tt4500922,62000000.0,288175335.0,others,USD,USD,English
The Insult,Movie,2019-06-25,6780.0,Crime,1.0,72.0,7.6,17358,tt7048622,2405039.0,3666236.0,others,EUR,USD,Arabic
Please Stand By,Movie,2018-01-26,5580.0,Comedy,,49.0,6.7,14267,tt4652650,,406732.0,others,,USD,English
Winchester,Movie,2018-02-02,5940.0,Drama,,28.0,5.4,35183,tt1072748,3500000.0,44019588.0,others,USD,USD,English
A Fantastic Woman,Movie,2018-02-02,6240.0,Drama,0.0,85.0,7.2,26401,tt5639354,,3839364.0,others,,USD,Spanish
Armed,Movie,2018-09-14,7080.0,Action,,,3.4,484,tt4824316,,3948.0,others,,USD,English
The Cloverfield Paradox,Movie,2018-02-04,6120.0,Action,,37.0,5.5,108263,tt2548396,45000000.0,,netflix,USD,,English
Peter Rabbit,Movie,2018-02-09,5700.0,Adventure,,51.0,6.6,44979,tt5117670,50000000.0,351496066.0,others,USD,USD,English
