imdbID,CurrencyBudget,CurrencyGross,Language
tt5726086,USD,USD,English
tt3567666,,USD,English
tt6958212,,USD,English
tt1590193,USD,USD,English
tt5089534,,USD,English
tt5658242,,USD,English
tt4673790,,USD,Portuguese
tt1413492,USD,USD,English
tt1259528,USD,USD,English
tt4103724,USD,USD,English
tt4500922,USD,USD,English
tt7048622,EUR,USD,Arabic
tt4652650,,USD,English
tt1072748,USD,USD,English
tt5639354,,USD,Spanish
tt4824316,,USD,English
tt2548396,USD,,English
tt5117670,USD,USD,English
tt4477536,USD,USD,English
tt6802308,USD,USD,English
tt4823538,MXN,USD,Spanish
tt7528086,NPR,,Nepali
tt5390066,,USD,English
tt6572702,,USD,English
tt5687814,,USD,English
tt1825683,USD,USD,English
tt14034614,,USD,Italian
tt3208026,,USD,English
tt6951892,,USD,English
tt2704998,USD,USD,English
tt2798920,USD,USD,English
tt7026672,USD,USD,English
tt3463106,,USD,English
tt4399952,,USD,English
tt2873282,USD,USD,English
tt1137450,USD,USD,English
tt1291566,,,English
tt4789822,USD,,English
tt1620680,USD,USD,English
tt3721964,,USD,English
tt5649108,USD,USD,English
tt4686844,USD,USD,English
tt3741632,,USD,English
tt5360952,USD,USD,American Sign Language
tt1365519,USD,USD,English
tt5164432,USD,USD,English
tt6450186,USD,USD,English
tt5466186,,USD,English
tt4682780,,,English
tt2582784,,USD,English
tt2557478,USD,USD,English
tt5104604,,USD,English
tt7153766,USD,USD,English
tt7388562,USD,USD,English
tt4494718,,USD,English
tt4799066,USD,USD,English
tt1677720,USD,USD,English
tt6652708,,USD,English
tt5795086,,USD,English
tt5836316,,USD,English
tt6644200,USD,USD,American Sign Language
tt2531344,USD,USD,English
tt5270948,USD,USD,English
tt5340300,,USD,English
tt5427194,,USD,English
tt4669264,,USD,English
tt2231461,USD,USD,English
tt6772950,USD,USD,English
tt6217608,,USD,English
tt6791096,USD,USD,English
tt0859635,USD,USD,English
tt5670152,USD,USD,English
tt7089878,,USD,Japanese
tt4154756,USD,USD,English
tt6108178,USD,USD,English
tt5153288,,USD,English
tt6306064,USD,USD,English
tt6499752,USD,USD,English
tt6212478,,USD,English
tt5639898,,USD,English
tt7681902,,USD,English
tt7784604,USD,USD,English
tt5834262,USD,USD,English
tt7690670,USD,USD,English
tt3606756,USD,USD,English
tt2854926,USD,USD,English
tt1667321,,USD,English
tt1801552,USD,USD,English
tt4881806,USD,USD,English
tt5686062,,USD,English
tt5881528,,USD,English
tt5591666,USD,USD,English
tt5052474,USD,USD,English
tt3892172,,USD,English
tt7334528,USD,USD,English
tt5436228,,USD,English
tt5610554,USD,USD,English
tt3203528,,USD,English
tt5619332,USD,USD,English
tt4682136,,USD,English
tt4463816,,USD,English
tt5463162,USD,USD,English
tt6857166,USD,USD,English
tt6053438,USD,USD,English
tt6915100,,USD,Italian
tt5691024,USD,USD,English
tt3778644,USD,USD,English
tt3859310,,USD,English
tt5164184,,,English
tt5518756,,USD,English
tt6133466,USD,USD,English
tt5095030,USD,USD,English
tt5688932,USD,USD,English
tt5220122,USD,USD,English
tt5758778,USD,USD,English
tt7014006,USD,USD,English
tt6288124,,USD,English
tt5540992,USD,USD,English
tt6911608,USD,USD,English
tt3766354,USD,USD,English
tt7242142,,USD,English
tt4761916,USD,USD,English
tt4912910,USD,USD,English
tt6869538,,USD,Mandarin
tt3416536,,USD,English
tt6933454,,USD,English
tt3201640,,USD,English
tt4575576,USD,USD,English
tt4073790,USD,USD,English
tt6663582,USD,USD,English
tt6257174,,USD,English
tt4779682,USD,USD,English
tt7349662,USD,USD,English
tt5690360,USD,USD,English
tt4080956,,USD,English
tt3104988,USD,USD,English
tt4244998,USD,USD,English
tt4560436,USD,USD,English
tt3750872,,USD,English
tt5179598,USD,USD,English
tt5607096,,USD,English
tt2372251,,USD,English
tt1308728,USD,USD,English
tt7668870,USD,USD,English
tt5208252,USD,USD,English
tt6017942,USD,USD,English
tt6859762,,USD,English
tt5814060,USD,USD,English
tt6850820,USD,USD,English
tt3829266,USD,USD,English
tt4537896,USD,USD,English
tt7040874,USD,USD,English
tt6040662,,USD,English
tt5160938,,USD,English
tt7339792,USD,USD,English
tt2119543,USD,USD,English
tt5989218,USD,USD,English
tt4971344,USD,USD,English
tt6205872,USD,USD,English
tt6957966,CAD,USD,English
tt5437928,,USD,English
tt8632862,USD,USD,English
tt13234058,,USD,English
tt7745068,,USD,Japanese
tt6182908,USD,USD,English
tt6781982,USD,USD,English
tt3554938,,,English
tt1270797,USD,USD,English
tt1517451,USD,USD,English
tt2404639,,USD,Latin
tt1213641,USD,USD,English
tt6628394,USD,USD,English
tt1226837,USD,USD,English
tt7461200,,USD,English
tt3722234,,USD,English
tt6688022,,USD,English
tt5580266,USD,USD,English
tt4595882,USD,USD,English
tt5929754,,USD,English
tt6662736,,USD,English
tt1846589,USD,USD,English
tt6140148,,USD,English
tt1727824,USD,USD,English
tt5523010,USD,USD,English
tt7008872,USD,USD,English
tt2368254,USD,USD,English
tt5883570,,USD,English
tt7074886,,USD,English
tt5177088,USD,USD,English
tt4530422,USD,USD,English
tt6412452,,,English
tt4123430,USD,USD,English
tt4218572,USD,USD,English
tt6966692,USD,USD,English
tt7401588,USD,USD,English
tt5848272,USD,USD,English
tt6343314,USD,USD,English
tt6155172,,USD,Spanish
tt5083738,USD,USD,English
tt2388771,,,English
tt6433880,,USD,English
tt8267604,USD,USD,Arabic
tt2328900,USD,USD,English
tt7545524,USD,USD,English
tt4633694,USD,USD,English
tt1571234,USD,USD,English
tt7959026,USD,USD,English
tt7125860,USD,USD,English
tt5028340,USD,USD,English
tt1477834,USD,USD,English
tt4701182,USD,USD,English
tt3289724,USD,USD,English
tt2126357,USD,USD,English
tt6266538,USD,USD,English
tt4669788,USD,USD,English
tt7137380,USD,USD,English
tt9495224,,,English
tt5886046,USD,USD,English
tt6610158,,,English
tt8975028,,,English
tt7616798,USD,USD,English
tt1987680,USD,USD,English
tt4154916,USD,USD,English
tt2728784,,,English
tt6823368,USD,USD,English
tt5316540,,USD,Arabic
tt9109306,,USD,English
tt6811018,USD,USD,English
tt6292852,,USD,English
tt6803046,,,English
tt5941692,USD,USD,English
tt7043012,,,English
tt3513498,USD,USD,English
tt7634968,USD,USD,English
tt5719748,USD,USD,English
tt8128188,USD,,English
tt4504044,USD,USD,English
tt8155288,USD,USD,English
tt0437086,USD,USD,English
tt2386490,USD,USD,English
tt6513120,USD,USD,English
tt2639336,,USD,English
tt1488606,USD,,English
tt4154664,USD,USD,English
tt5968394,USD,USD,English
tt5977276,,USD,English
tt6472976,USD,USD,English
tt1860242,USD,,English
tt1158939,,USD,English
tt6643972,USD,USD,English
tt6857112,USD,USD,English
tt5461944,,USD,Hindi
tt0800325,,,English
tt6491178,USD,USD,English
tt6511932,USD,USD,English
tt9024106,USD,USD,English
tt0448115,USD,USD,English
tt4807408,USD,USD,English
tt4827558,EUR,USD,English
tt2338454,,,English
tt7976208,,USD,English
tt7315484,,USD,English
tt6348138,USD,USD,English
tt4126476,USD,USD,English
tt7942742,,USD,English
tt7083526,USD,USD,English
tt4913966,USD,USD,English
tt5691670,USD,USD,English
tt6418778,,USD,English
tt8075260,USD,,English
tt4058836,,,English
tt4154796,USD,USD,English
tt8647310,,USD,English
tt2139881,USD,USD,English
tt6722030,USD,USD,English
tt2481498,,USD,English
tt7957694,,,English
tt5884052,USD,USD,English
tt1298644,USD,USD,English
tt3361792,USD,USD,English
tt5125894,USD,USD,English
tt5932728,USD,USD,English
tt6146586,USD,USD,English
tt8385474,USD,USD,English
tt6423362,USD,USD,English
tt6865690,,USD,English
tt6920356,,USD,English
tt8769848,,USD,English
tt7752126,USD,USD,English
tt1489887,USD,USD,English
tt7772580,,,English
tt7374948,,,English
tt3741700,USD,USD,English
tt2066051,USD,USD,English
tt7958736,USD,USD,English
tt6565702,USD,USD,English
tt6107548,USD,USD,English
tt4353250,,USD,English
tt2283336,USD,USD,English
tt8695030,,USD,English
tt1618434,,,English
tt7645122,,USD,English
