Title,Type,Release,Runtime,Genre,Nominations,Metascore,imdbRating,imdbVotes,imdbID,Budget,Gross
Insidious: The Last Key,Movie,2018-1-5,6180,Horror,,49,5.7,63102,tt5726086,10000000,167885588
The Strange Ones,Movie,2018-1-5,4860,Drama,,57,5.1,2741,tt6014904,,28374
Stratton,Movie,2018-1-5,5700,Action,,26,4.8,5405,tt3567666,,257212
Sweet Country,Movie,2018-4-6,6780,Adventure,,88,6.9,8855,tt6958212,,1849718
The Commuter,Movie,2018-1-12,6240,Action,,56,6.3,118954,tt1590193,30000000,119942387
Proud Mary,Movie,2018-1-12,5340,Action,,35,5.0,10255,tt6421110,14000000,21753365
Acts of Violence,Movie,2018-1-12,5160,Action,,28,5.3,12717,tt6684714,,386790
Freak Show,Movie,2018-1-12,5460,Comedy,,54,6.5,4376,tt5089534,,20657
Humor Me,Movie,2018-1-12,5580,Comedy,,53,6.1,1335,tt5658242,,40099
Vazante,Movie,2018-1-12,6960,Adventure,,68,6.3,644,tt4673790,,25091
Mary and the Witch's Flower,Movie,2017-7-8,6180,Animation,,74,6.8,15032,tt6336356,,42170089
12 Strong,Movie,2018-1-19,7800,Action,,54,6.5,85233,tt1413492,35000000,67450815
Den of Thieves,Movie,2018-1-19,8400,Action,,49,7.0,116702,tt1259528,30000000,80509622
Forever My Girl,Movie,2018-1-19,6480,Comedy,,36,6.6,18766,tt4103724,3500000,16376066
Maze Runner: The Death Cure,Movie,2018-1-26,8580,Action,,50,6.2,147823,tt4500922,62000000,288175335
The Insult,Movie,2019-6-25,6780,Crime,1,72,7.6,17358,tt7048622,2405039,3666236
Please Stand By,Movie,2018-1-26,5580,Comedy,,49,6.7,14267,tt4652650,,406732
Winchester,Movie,2018-2-2,5940,Drama,,28,5.4,35183,tt1072748,3500000,44019588
A Fantastic Woman,Movie,2018-2-2,6240,Drama,0,85,7.2,26401,tt5639354,,3839364
Armed,Movie,2018-9-14,7080,Action,,,3.4,484,tt4824316,,3948
The Cloverfield Paradox,Movie,2018-2-4,6120,Action,,37,5.5,108263,tt2548396,45000000,
Bad Apples,Movie,2018-2-6,5100,Horror,,,3.2,1792,tt7091300,,
Peter Rabbit,Movie,2018-2-9,5700,Adventure,,51,6.6,44979,tt5117670,50000000,351496066
Fifty Shades Freed,Movie,2018-2-9,6300,Drama,,31,4.5,68522,tt4477536,55000000,371985018
The 15:17 to Paris,Movie,2018-2-9,5640,Biography,,45,5.3,34583,tt6802308,30000000,57076286
La boda de Valentina,Movie,2018-2-9,6420,Comedy,,,4.7,719,tt4823538,47900000,11021794
Kri,Movie,2018-2-23,8280,Action,,,5.0,140,tt7528086,3000000,
Permission,Movie,2018-2-9,5760,Comedy,,62,5.3,4703,tt5390066,,38260
Monster Family,Movie,2018-2-9,5580,Animation,,,4.8,5131,tt6572702,,29230695
Golden Exits,Movie,2018-2-9,5640,Drama,,71,5.7,2237,tt5687814,,41888
Black Panther,Movie,2018-2-16,8040,Action,4,88,7.3,796972,tt1825683,200000000,1349926083
Early Man,Movie,2018-2-16,5340,Animation,,68,6.1,22832,tt4701724,50000000,54622814
Loveless,Movie,2017-6-1,7620,Drama,1,86,7.6,34115,tt6304162,,3928358
The Party,Movie,1968-4-4,5940,Comedy,,,7.4,41839,tt0063415,2900000,10631
Nostalgia,Movie,2022-5-25,7020,Drama,,76,6.8,1951,tt14034614,,2895710
Black '47,Movie,2018-9-28,6000,Action,,65,6.8,12399,tt3208026,,2073063
Samson,Movie,2018-2-16,6600,Action,,17,4.5,4749,tt6951892,,4873825
Game Night,Movie,2018-2-23,6000,Action,,66,6.9,242056,tt2704998,37000000,117768230
Annihilation,Movie,2018-2-23,6900,Adventure,,79,6.8,336600,tt2798920,40000000,43070915
Every Day,Movie,2018-2-23,5820,Drama,,52,6.4,22506,tt7026672,4900000,10421847
The Cured,Movie,2018-2-23,5700,Drama,,57,5.6,8947,tt3463106,,323776
The Lodgers,Movie,2018-2-23,5520,Drama,,52,5.1,9368,tt4399952,,916727
Red Sparrow,Movie,2018-3-2,8400,Action,,53,6.6,191500,tt2873282,69000000,151572634
Death Wish,Movie,2018-3-2,6420,Action,,31,6.3,73788,tt1137450,30000000,49562710
The Vanishing of Sidney Hall,Movie,2018-3-2,7140,Drama,,18,6.8,11286,tt1291566,,
Foxtrot,Movie,2017-9-21,6780,Drama,,88,7.2,7803,tt6896536,,1356159
Pickings,Movie,2018-8-3,6180,Comedy,,,5.1,1083,tt4789822,350000,
A Wrinkle in Time,Movie,2018-3-9,6540,Adventure,,53,4.2,46130,tt1620680,100000000,132675864
Gringo,Movie,2018-3-9,6660,Action,,46,6.1,31102,tt3721964,,11001627
Thoroughbreds,Movie,2018-3-9,5520,Comedy,,75,6.6,44682,tt5649108,6000000,3187255
The Death of Stalin,Movie,2018-3-9,6420,Comedy,2,88,7.2,106442,tt4686844,13000000,24646055
The Leisure Seeker,Movie,2018-1-3,6720,Adventure,,45,6.7,9238,tt3741632,,10472180
The Strangers: Prey at Night,Movie,2018-3-9,5100,Horror,,48,5.2,32430,tt1285009,5000000,31039126
The Hurricane Heist,Movie,2018-3-9,6180,Action,,35,5.1,21441,tt5360952,35000000,32517248
Tomb Raider,Movie,2018-3-16,7140,Action,,48,6.3,218713,tt1365519,94000000,274650803
"Love, Simon",Movie,2018-3-16,6600,Comedy,,72,7.5,118549,tt5164432,17000000,66719009
I Can Only Imagine,Movie,2018-3-16,6600,Biography,,30,7.3,16926,tt6450186,7000000,86086881
7 Days in Entebbe,Movie,2018-3-16,6420,Action,,49,5.9,16389,tt5466186,,8771432
Furlough,Movie,2018-3-16,4980,Comedy,,,5.4,1996,tt5291792,3000000,8472
Josie,Movie,2018-3-16,6000,Drama,,31,5.2,3380,tt4682780,,
Flower,Movie,2018-3-16,5400,Comedy,,45,6.0,9752,tt2582784,,380553
Pacific Rim: Uprising,Movie,2018-3-23,6660,Action,,44,5.6,120600,tt2557478,150000000,290930148
Isle of Dogs,Movie,2018-4-13,6060,Animation,2,82,7.8,175573,tt5104604,,64337744
Sherlock Gnomes,Movie,2018-3-23,5160,Animation,,36,5.2,13109,tt2296777,59000000,90497778
Unsane,Movie,2018-3-23,5880,Drama,,63,6.4,47908,tt7153766,1500000,14293601
"Paul, Apostle of Christ",Movie,2018-3-23,6480,Adventure,,52,6.6,9044,tt7388562,5000000,25915966
Final Portrait,Movie,2018-3-23,5400,Biography,,70,6.2,5827,tt4494718,,1677835
Midnight Sun,Movie,2018-3-23,5460,Drama,,38,6.6,33107,tt4799066,2800000,27365467
Ready Player One,Movie,2018-3-29,8400,Action,1,64,7.4,449794,tt1677720,175000000,592241728
God's Not Dead: A Light in Darkness,Movie,2018-3-30,6300,Drama,,33,4.4,4217,tt6652708,,7414178
Gemini,Movie,2018-3-30,5580,Crime,,71,5.4,5346,tt5795086,,200340
The Last Movie Star,Movie,2018-3-30,5640,Drama,,46,7.0,4602,tt5836316,,14410
A Quiet Place,Movie,2018-4-6,5400,Drama,1,82,7.5,545301,tt6644200,17000000,340952971
Blockers,Movie,2018-4-6,6120,Comedy,,69,6.2,81628,tt2531344,21000000,94019120
You Were Never Really Here,Movie,2018-4-6,5340,Crime,1,84,6.7,122391,tt5742374,,9360514
Chappaquiddick,Movie,2018-4-6,6360,Biography,,67,6.4,13965,tt5270948,13000000,18263470
Pandas,Short,2018-4-6,2520,Documentary,,82,7.3,707,tt7860270,,7635778
Lean on Pete,Movie,2018-5-4,7260,Adventure,,80,7.2,13254,tt5340300,,2443584
The Miracle Season,Movie,2018-4-6,6060,Drama,,44,6.5,5803,tt5427194,,10230620
Beirut,Movie,2018-4-11,6540,Action,,69,6.5,23406,tt4669264,,7509436
Rampage,Movie,2018-4-13,6420,Action,,45,6.1,173894,tt2231461,120000000,428028233
Truth or Dare,Movie,2018-4-13,6000,Horror,,35,5.2,58664,tt6772950,3500000,95330710
The Rider,Movie,2018-4-13,6240,Drama,,91,7.4,19777,tt6217608,,3436124
Sgt. Stubby: An American Hero,Movie,2018-4-13,5040,Animation,,58,6.9,2391,tt5314190,25000000,4932694
I Feel Pretty,Movie,2018-4-20,6600,Comedy,,48,5.6,55239,tt6791096,32000000,94539426
Super Troopers 2,Movie,2018-4-20,5940,Comedy,,41,6.0,27316,tt0859635,13500000,31626386
Traffik,Movie,2018-4-20,5760,Action,,37,5.9,20877,tt5670152,4000000,9515914
The House of Tomorrow,Movie,2019-6-20,5100,Comedy,,58,6.2,2256,tt5910344,,35821
Liz and the Blue Bird,Movie,2018-4-21,5400,Animation,,67,7.1,1905,tt7089878,,737286
Avengers: Infinity War,Movie,2018-4-27,8940,Action,1,68,8.4,1111680,tt4154756,321000000,2052415039
Disobedience,Movie,2018-4-27,6840,Drama,,74,6.6,32989,tt6108178,6000000,8003180
Backstabbing for Beginners,Movie,2018-4-27,6480,Drama,,48,6.3,5543,tt5153288,,367000
Kings,TV Series,2009-3-15,3600,Drama,,,8.1,8602,tt1137462,,
Action Point,Movie,2018-6-1,5100,Comedy,,36,5.1,11814,tt6495770,19000000,5103663
Adrift,Movie,2018-6-1,5760,Action,,56,6.6,58691,tt6306064,35000000,59945012
Upgrade,Movie,2018-6-1,6000,Action,,67,7.5,191614,tt6499752,5000000,16706680
American Animals,Movie,2018-8-14,6960,Biography,,68,7.0,46657,tt6212478,,4080073
Social Animals,Movie,2018-6-1,5400,Comedy,,37,5.3,1911,tt5639898,,5007
Ocean's 8: Reimagining the Met Gala,Video,2018-9-11,780,Documentary,,,7.2,39,tt9108974,,
Won't You Be My Neighbor?,Movie,2018-6-29,5700,Documentary,,85,8.3,26289,tt7681902,,22844741
Hereditary,Movie,2018-6-8,7620,Drama,,87,7.3,335905,tt7784604,10000000,82530552
Hotel Artemis,Movie,2018-6-8,5640,Action,,58,6.1,55341,tt5834262,15000000,13313581
SuperFly,Movie,2018-6-13,6960,Action,,52,5.2,7325,tt7690670,16000000,20780685
Incredibles 2,Movie,2018-6-15,7080,Animation,1,80,7.6,306653,tt3606756,200000000,1243225667
Tag,Movie,2018-6-15,6000,Action,,56,6.5,138110,tt2854926,28000000,78130625
On Chesil Beach,Movie,2018-5-18,6600,Drama,,62,6.3,11787,tt1667321,,3338249
Gotti,Movie,2018-6-14,6720,Biography,,24,4.7,16128,tt1801552,10000000,6412349
Jurassic World: Fallen Kingdom,Movie,2018-6-22,7680,Action,,51,6.1,325229,tt4881806,170000000,1310466296
Boundaries,Movie,2018-9-13,6240,Comedy,,50,5.5,2472,tt5686062,,755977
Damsel,Movie,2018-6-22,6780,Comedy,,63,5.6,5570,tt5881528,,323235
The Domestics,Movie,2018-6-29,5700,Action,,,5.7,10269,tt5591666,9000000,59766
Sicario: Day of the Soldado,Movie,2018-6-29,7320,Action,,61,7.1,154760,tt5052474,35000000,75837743
Leave No Trace,Movie,2018-6-29,6540,Adventure,,88,7.1,61854,tt3892172,,7682928
Uncle Drew,Movie,2018-6-29,6180,Comedy,,57,5.8,15046,tt7334528,19000000,46664414
Woman Walks Ahead,Movie,2018-6-29,6060,Biography,,51,6.6,7739,tt5436228,,80912
Overboard,Movie,1987-12-16,6720,Comedy,,53,6.9,63054,tt0093693,22000000,26713187
Tully,Movie,2018-5-4,5700,Comedy,,75,6.9,60824,tt5610554,13000000,15636462
Bad Samaritan,Movie,2018-5-4,6600,Crime,,42,6.4,24637,tt3203528,,4623836
The Cleanse,Movie,2018-5-4,4860,Comedy,,58,5.1,3954,tt3734354,,
The Guardians,Movie,2017-2-23,5340,Action,,,4.0,14056,tt4600952,380000000,9765483
Life of the Party,Movie,2018-5-11,6300,Comedy,,46,5.6,38050,tt5619332,30000000,65859911
Breaking In,Movie,2018-5-11,5280,Action,,42,5.5,16311,tt7137846,6000000,51411620
The Seagull,Movie,2018-7-26,5880,Comedy,,58,5.7,3776,tt4682136,,1820461
Terminal,Movie,2018-5-11,5700,Comedy,,27,5.3,23551,tt4463816,,843970
Revenge,TV Series,2011-9-21,2640,Drama,,,7.8,121793,tt1837642,,
Deadpool 2,Movie,2018-5-18,7140,Action,,66,7.6,599660,tt5463162,110000000,785896609
Book Club,Movie,2018-5-18,6240,Comedy,,53,6.1,29190,tt6857166,10000000,104438188
First Reformed,Movie,2018-6-8,6780,Drama,1,85,7.1,58985,tt6053438,3500000,3862498
Pope Francis: A Man of His Word,Movie,2018-6-14,5760,Documentary,,63,6.5,2325,tt6915100,,8608385
Show Dogs,Movie,2018-5-18,5520,Adventure,,31,3.9,4871,tt5691024,5500000,39156854
Solo: A Star Wars Story,Movie,2018-5-25,8100,Action,1,62,6.9,357648,tt3778644,275000000,392924807
How to Talk to Girls at Parties,Movie,2018-5-25,6120,Comedy,,50,5.7,11739,tt3859310,,385733
In Darkness,Movie,2018-5-25,6600,Mystery,,59,5.7,13738,tt5164184,,
The Misandrists,Movie,2018-5-25,5460,Comedy,,56,5.0,504,tt5518756,,26123
Future World,Movie,2018-5-25,5280,Action,,10,3.2,6545,tt5737536,,163313
The First Purge,Movie,2018-7-4,5820,Action,,54,5.2,66071,tt6133466,13000000,137056262
Ant-Man and the Wasp,Movie,2018-7-6,7080,Action,,70,7.0,419971,tt5095030,162000000,622674139
Sorry to Bother You,Movie,2018-7-13,6720,Comedy,,80,6.9,83103,tt5688932,3200000,18170707
Whitney,TV Series,2011-9-22,1800,Comedy,,,5.7,12901,tt1850458,,
Hotel Transylvania 3: Summer Vacation,Movie,2018-7-13,5820,Animation,,54,6.3,77988,tt5220122,80000000,528583774
Skyscraper,Movie,2018-7-13,6120,Action,,51,5.8,126015,tt5758778,125000000,304868961
Eighth Grade,Movie,2018-8-3,5580,Comedy,,89,7.4,78519,tt7014006,2000000,14347433
"Don't Worry, He Won't Get Far on Foot",Movie,2018-4-4,6840,Biography,,67,6.8,28598,tt6288124,,4241656
Shock and Awe,Movie,2018-7-20,5400,Biography,,47,6.4,7873,tt5540992,16450000,182415
Mamma Mia! Here We Go Again,Movie,2018-7-20,6840,Comedy,,60,6.6,99618,tt6911608,75000000,402264843
The Equalizer 2,Movie,2018-7-20,7260,Action,,50,6.7,167279,tt3766354,62000000,190400157
Blindspotting,Movie,2018-7-27,5700,Comedy,,77,7.4,31607,tt7242142,,5006989
Unfriended: Dark Web,Movie,2018-7-20,5520,Horror,,53,6.0,34816,tt4761916,1000000,16024987
Bleach,TV Series,2006-9-9,1440,Animation,,,8.2,59829,tt0434665,,
Mission: Impossible - Fallout,Movie,2018-7-27,8820,Action,1,86,7.7,342325,tt4912910,178000000,791657398
Teen Titans GO! To the Movies,Movie,2018-7-27,5040,Animation,,69,6.7,20349,tt7424200,10000000,52090236
Detective Dee: The Four Heavenly Kings,Movie,2018-7-27,7920,Action,,58,6.3,2852,tt6869538,,90040771
Hot Summer Nights,Movie,2018-7-27,6420,Crime,,44,6.4,20663,tt3416536,,246133
Puzzle,Movie,2018-9-7,6180,Drama,,66,6.7,8171,tt6933454,,2260946
Extinction,Movie,2018-7-27,5700,Action,,40,5.8,54763,tt3201640,,1451864
Christopher Robin,Movie,2018-8-3,6240,Adventure,1,60,7.2,80426,tt4575576,75000000,197744377
The Darkest Minds,Movie,2018-8-3,6240,Action,,39,5.7,33745,tt4073790,34000000,41142379
